"scenario_id","layer","display_name_pt_br","description_pt_br","injection_pattern","opcua_effect","primary_loop_ids","current_analytical_coverage","future_method_or_protocol_need"
"normal.steady","process","Operação estável","Carga, utilidades e controladores permanecem em uma faixa estável com ruído físico pequeno.","Blocos de 4 a 12 horas entre transições normais.","Valores bons e cadência nominal.","FIC-101;FIC-201;FIC-301;PIC-601;FIC-701;PIC-704;LIC-801;FIC-1003","CPM snapshot and Data Quality window health.","None."
"normal.load_change","process","Mudança normal de carga","A carga da planta muda em rampa e perturba unidades a jusante sem introduzir uma falha.","Duas rampas por ciclo de 72 horas.","Valores bons e timestamps regulares.","FIC-101;FIC-201;FIC-301","CPM snapshot records bounded tracking and variability facts.","None; this is a healthy comparison case."
"control.aggressive_tuning","control","Sintonia agressiva","Ganho e ação integral excessivos produzem overshoot e reversões frequentes.","Episode of 3 to 8 hours after a setpoint or load change.","Good-quality values with physical oscillation.","PIC-102;PIC-402;TIC-604","CPM snapshot covers error and variability but does not identify tuning cause.","Oscillation/noise screening and tuning assessment."
"control.sluggish_tuning","control","Controle lento","Baixo ganho ou integral lenta mantém erro por tempo excessivo após uma mudança.","Episode of 6 to 16 hours around one disturbance.","Good-quality values with delayed recovery.","TIC-204;TIC-303","CPM snapshot covers error and variability.","Tracking assessment with response-time evidence."
"control.oscillation","control","Oscilação sustentada","A dinâmica local e a sintonia mantêm uma oscilação periódica reprodutível.","Episode of 4 to 12 hours with gradual onset and removal.","Good-quality periodic values.","PIC-202;TIC-304;TIC-503","PV variability is covered; periodicity is not yet canonical.","Oscillation autocorrelation or spectral Method."
"control.propagated_oscillation","process","Oscilação propagada","Uma oscilação de utilidade ou equipamento compartilhado aparece em outra variável com defasagem.","Episode synchronized with one upstream driver.","Good-quality correlated values.","TIC-702","Individual CPM Results remain independent.","Interaction Protocol with explicit secondary Signal Role."
"valve.stiction","actuator","Agarramento da válvula","A posição real permanece em patamares até vencer uma banda de atrito e então se move em salto.","Intermittent episodes with configurable friction band.","OP remains smooth while valve feedback shows plateaus and jumps.","LIC-103;FIC-206;LIC-501;FIC-803","OP saturation and tracking facts may change; stiction is not directly detected.","Valve-condition Protocol and stiction Method."
"valve.backlash","actuator","Folga do atuador","Reversões da demanda não alteram imediatamente a posição real do elemento final.","Episode of 4 to 10 hours with direction-dependent dead band.","Good-quality OP and final-element feedback diverge during reversals.","LIC-306","Current snapshot does not use final-element feedback.","Valve travel/backlash Method."
"actuator.saturation","actuator","Saturação do atuador","A demanda ou resposta física permanece próxima ao limite enquanto o erro persiste.","Episode aligned with high or low plant demand.","Good-quality values near 0 or 100 percent.","FIC-207;PIC-305;FIC-603;PIC-1001","OP saturation and error are canonical CPM branches.","Optional valve-authority interpretation remains future work."
"operations.manual","operations","Operação manual prolongada","O controlador é transferido para manual durante uma intervenção ou limitação operacional.","One or more explicit intervals with recorded mode transitions.","MODE changes to MAN while PV, SP, OP continue.","LIC-205;SIC-404;LIC-802","Manual-mode fraction is canonical.","None."
