"loop_id","display_name_pt_br","area_code","area_name_pt_br","loop_kind","control_structure","controlled_variable_pt_br","pv_unit","manipulated_variable_pt_br","primary_scenario","scenario_description_pt_br","current_protocol","future_protocol_candidate","process_purpose_pt_br"
"FIC-101","Vazão de carga da unidade","FEED","Alimentação e pré-aquecimento","flow","feedback_pid","Vazão de alimentação","m³/h","Posição da válvula de carga","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Manter a carga da unidade estável diante de mudanças de campanha."
"PIC-102","Pressão de descarga da carga","FEED","Alimentação e pré-aquecimento","pressure","feedback_pid","Pressão de descarga da bomba de carga","bar","Velocidade da bomba de carga","control.aggressive_tuning","Sintonia agressiva com overshoot, reversões frequentes e oscilação local.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Proteger a alimentação e manter pressão suficiente no trem de pré-aquecimento."
"LIC-103","Interface da dessalgadora","FEED","Alimentação e pré-aquecimento","level","inventory_control","Nível de interface óleo-água","%","Posição da válvula de drenagem de salmoura","valve.stiction","Atrito estático com patamares na posição real e movimentos em saltos.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Manter a interface da dessalgadora dentro da faixa operacional."
"TIC-104","Temperatura de saída do pré-aquecimento","FEED","Alimentação e pré-aquecimento","temperature","cascade_primary","Temperatura de carga aquecida","°C","Referência de vazão do fluido quente","process.disturbance","Perturbação externa de carga, composição ou utilidade que exige recuperação.","cpm.loop_performance_snapshot/1.0.0","cpm.disturbance_response (provisional)","Entregar carga à destilação com temperatura consistente."
"AIC-105","Água e sais na carga","FEED","Alimentação e pré-aquecimento","analyzer","supervisory_bias","Teor de água e sais na alimentação","ppm","Referência de água de lavagem","data.gap","Intervalos determinísticos sem amostras históricas.","cpm.loop_performance_snapshot/1.0.0","","Monitorar e reduzir contaminantes antes da destilação."
"FIC-201","Vazão de alimentação da coluna","DIST","Destilação","flow","feedback_pid","Vazão de carga da coluna atmosférica","m³/h","Posição da válvula de alimentação","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Estabilizar a carga da coluna atmosférica."
"PIC-202","Pressão do topo da coluna","DIST","Destilação","pressure","split_range","Pressão do topo da coluna","bar","Demanda combinada do condensador e vent","control.oscillation","Oscilação sustentada com período e amplitude reprodutíveis.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Manter a pressão de topo dentro do limite operacional."
"TIC-203","Temperatura do topo da coluna","DIST","Destilação","temperature","cascade_primary","Temperatura do produto de topo","°C","Referência da vazão de refluxo","sensor.drift","Desvio gradual da medição em relação ao estado físico simulado.","cpm.loop_performance_snapshot/1.0.0","data_quality.sensor_health (provisional)","Manter a separação e a especificação do produto de topo."
"TIC-204","Temperatura do fundo da coluna","DIST","Destilação","temperature","cascade_primary","Temperatura do fundo da coluna","°C","Referência de vapor do refervedor","control.sluggish_tuning","Resposta lenta, erro persistente e recuperação demorada após perturbações.","cpm.loop_performance_snapshot/1.0.0","cpm.tracking_assessment (provisional)","Manter energia suficiente para a separação no fundo da coluna."
"LIC-205","Nível do vaso de refluxo","DIST","Destilação","level","inventory_control","Nível do vaso de refluxo","%","Posição da válvula de destilado","operations.manual","Períodos operacionais prolongados fora do modo automático.","cpm.loop_performance_snapshot/1.0.0","","Preservar inventário para refluxo e retirada de destilado."
"FIC-206","Vazão de refluxo","DIST","Destilação","flow","cascade_secondary","Vazão de refluxo para a coluna","m³/h","Posição da válvula de refluxo","valve.stiction","Atrito estático com patamares na posição real e movimentos em saltos.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Entregar o refluxo solicitado pelo controlador de temperatura."
"FIC-207","Vazão de retirada lateral","DIST","Destilação","flow","feedback_pid","Vazão do produto lateral","m³/h","Posição da válvula de produto","actuator.saturation","Demanda do controlador mantida próxima a um limite físico do atuador.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Controlar a retirada lateral sem exceder a capacidade hidráulica."
"LIC-208","Nível do fundo da coluna","DIST","Destilação","level","inventory_control","Nível do fundo da coluna","%","Velocidade da bomba de fundo","process.interaction","Resposta influenciada por outra malha ou variável de planta com defasagem.","cpm.loop_performance_snapshot/1.0.0","cpm.interaction_screen (provisional)","Manter inventário estável apesar das mudanças de carga e vapor."
"FIC-301","Vazão de carga do hidrotratamento","HDT","Hidrotratamento e reação","flow","feedback_pid","Vazão de hidrocarboneto para o reator","m³/h","Posição da válvula de carga","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Manter carga estável para o reator de hidrotratamento."
"FRC-302","Razão hidrogênio/óleo","HDT","Hidrotratamento e reação","ratio","ratio_control","Razão molar hidrogênio/óleo","ratio","Referência da vazão de hidrogênio","operations.setpoint_activity","Mudanças frequentes de referência por campanha ou intervenção operacional.","cpm.loop_performance_snapshot/1.0.0","cpm.operational_interventions (provisional)","Preservar excesso adequado de hidrogênio ao variar a carga."
"TIC-303","Temperatura de entrada do reator","HDT","Hidrotratamento e reação","temperature","cascade_primary","Temperatura de entrada do reator","°C","Referência de combustível do forno","control.sluggish_tuning","Resposta lenta, erro persistente e recuperação demorada após perturbações.","cpm.loop_performance_snapshot/1.0.0","cpm.tracking_assessment (provisional)","Manter a temperatura de reação na entrada do leito."
"TIC-304","Temperatura do leito catalítico","HDT","Hidrotratamento e reação","temperature","cascade_primary","Temperatura de saída do leito catalítico","°C","Referência da vazão de quench","control.oscillation","Oscilação sustentada com período e amplitude reprodutíveis.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Limitar a elevação de temperatura no leito catalítico."
"PIC-305","Pressão do reator","HDT","Hidrotratamento e reação","pressure","override_selector","Pressão do sistema de reação","bar","Demanda do compressor e válvula de reciclo","actuator.saturation","Demanda do controlador mantida próxima a um limite físico do atuador.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Manter pressão de reação sem ultrapassar restrições de compressão."
"LIC-306","Nível do separador de alta pressão","HDT","Hidrotratamento e reação","level","inventory_control","Nível do separador de alta","%","Posição da válvula de líquido","valve.backlash","Folga do atuador com reversões sem resposta imediata da variável manipulada.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Separar gás e líquido mantendo inventário seguro."
"AIC-307","Enxofre no produto tratado","HDT","Hidrotratamento e reação","analyzer","supervisory_bias","Teor de enxofre do produto","ppm","Bias da referência de temperatura do reator","sensor.noise","Ruído de medição de alta frequência acima do comportamento normal do processo.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Acompanhar a qualidade do produto do hidrotratamento."
"PIC-401","Pressão de sucção do compressor","H2C","Hidrogênio e compressão","pressure","override_selector","Pressão de sucção do compressor de hidrogênio","bar","Posição da válvula de reciclo","data.communication_loss","Perda temporária de comunicação e retorno posterior do sinal.","cpm.loop_performance_snapshot/1.0.0","","Evitar baixa pressão de sucção e instabilidade do compressor."
"PIC-402","Pressão de descarga do compressor","H2C","Hidrogênio e compressão","pressure","feedback_pid","Pressão de descarga do compressor","bar","Referência de velocidade do compressor","control.aggressive_tuning","Sintonia agressiva com overshoot, reversões frequentes e oscilação local.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Fornecer hidrogênio na pressão requerida pelo processo."
"FIC-403","Vazão de hidrogênio de reciclo","H2C","Hidrogênio e compressão","flow","feedback_pid","Vazão de hidrogênio reciclado","Nm³/h","Posição da válvula de reciclo","process.interaction","Resposta influenciada por outra malha ou variável de planta com defasagem.","cpm.loop_performance_snapshot/1.0.0","cpm.interaction_screen (provisional)","Manter circulação de hidrogênio enquanto a pressão do sistema varia."
"SIC-404","Velocidade do compressor","H2C","Hidrogênio e compressão","speed","cascade_secondary","Velocidade do compressor de hidrogênio","rpm","Posição do governador da turbina","operations.manual","Períodos operacionais prolongados fora do modo automático.","cpm.loop_performance_snapshot/1.0.0","","Atender à referência de pressão dentro dos limites mecânicos."
