"signal_id","opcua_node_id","display_name_pt_br","description_pt_br","area_code","area_name_pt_br","equipment_id","equipment_name_pt_br","scope","loop_id","analytical_role","data_type","engineering_unit","nominal_cadence_seconds","normal_range","scenario_relevance","context_for_loop_ids"
"SIG-0001","ns=2;s=Plant.ControlLoops.FIC-101.PV","PV — Vazão de carga da unidade","Variável de processo medida: Vazão de alimentação.","FEED","Alimentação e pré-aquecimento","FIC-101","Vazão de carga da unidade","control_loop","FIC-101","cpm.pv","number","m³/h","30","0..1000","normal.steady","FIC-101"
"SIG-0002","ns=2;s=Plant.ControlLoops.FIC-101.SP","SP — Vazão de carga da unidade","Referência operacional ou supervisória para vazão de alimentação.","FEED","Alimentação e pré-aquecimento","FIC-101","Vazão de carga da unidade","control_loop","FIC-101","cpm.sp","number","m³/h","30","0..1000","normal.steady","FIC-101"
"SIG-0003","ns=2;s=Plant.ControlLoops.FIC-101.OP","OP — Vazão de carga da unidade","Demanda calculada pelo controlador para posição da válvula de carga.","FEED","Alimentação e pré-aquecimento","FIC-101","Vazão de carga da unidade","control_loop","FIC-101","cpm.op","number","%","10","0..100","normal.steady","FIC-101"
"SIG-0004","ns=2;s=Plant.ControlLoops.FIC-101.MODE","Modo — Vazão de carga da unidade","Modo efetivo do controlador: automático, manual, cascata ou remoto.","FEED","Alimentação e pré-aquecimento","FIC-101","Vazão de carga da unidade","control_loop","FIC-101","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","normal.steady","FIC-101"
"SIG-0005","ns=2;s=Plant.ControlLoops.FIC-101.MVFB","Resposta do elemento final — Vazão de carga da unidade","Resposta física medida do elemento final: Posição da válvula de carga.","FEED","Alimentação e pré-aquecimento","FIC-101","Vazão de carga da unidade","control_loop","FIC-101","cpm.valve_position","number","%","10","0..100","normal.steady","FIC-101"
"SIG-0006","ns=2;s=Plant.ControlLoops.PIC-102.PV","PV — Pressão de descarga da carga","Variável de processo medida: Pressão de descarga da bomba de carga.","FEED","Alimentação e pré-aquecimento","PIC-102","Pressão de descarga da carga","control_loop","PIC-102","cpm.pv","number","bar","30","0..250","control.aggressive_tuning","PIC-102"
"SIG-0007","ns=2;s=Plant.ControlLoops.PIC-102.SP","SP — Pressão de descarga da carga","Referência operacional ou supervisória para pressão de descarga da bomba de carga.","FEED","Alimentação e pré-aquecimento","PIC-102","Pressão de descarga da carga","control_loop","PIC-102","cpm.sp","number","bar","30","0..250","control.aggressive_tuning","PIC-102"
"SIG-0008","ns=2;s=Plant.ControlLoops.PIC-102.OP","OP — Pressão de descarga da carga","Demanda calculada pelo controlador para velocidade da bomba de carga.","FEED","Alimentação e pré-aquecimento","PIC-102","Pressão de descarga da carga","control_loop","PIC-102","cpm.op","number","%","10","0..100","control.aggressive_tuning","PIC-102"
"SIG-0009","ns=2;s=Plant.ControlLoops.PIC-102.MODE","Modo — Pressão de descarga da carga","Modo efetivo do controlador: automático, manual, cascata ou remoto.","FEED","Alimentação e pré-aquecimento","PIC-102","Pressão de descarga da carga","control_loop","PIC-102","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","control.aggressive_tuning","PIC-102"
"SIG-0010","ns=2;s=Plant.ControlLoops.PIC-102.MVFB","Resposta do elemento final — Pressão de descarga da carga","Resposta física medida do elemento final: Velocidade da bomba de carga.","FEED","Alimentação e pré-aquecimento","PIC-102","Pressão de descarga da carga","control_loop","PIC-102","","number","%","10","0..100","control.aggressive_tuning","PIC-102"
"SIG-0011","ns=2;s=Plant.ControlLoops.LIC-103.PV","PV — Interface da dessalgadora","Variável de processo medida: Nível de interface óleo-água.","FEED","Alimentação e pré-aquecimento","LIC-103","Interface da dessalgadora","control_loop","LIC-103","cpm.pv","number","%","30","0..100","valve.stiction","LIC-103"
"SIG-0012","ns=2;s=Plant.ControlLoops.LIC-103.SP","SP — Interface da dessalgadora","Referência operacional ou supervisória para nível de interface óleo-água.","FEED","Alimentação e pré-aquecimento","LIC-103","Interface da dessalgadora","control_loop","LIC-103","cpm.sp","number","%","30","0..100","valve.stiction","LIC-103"
"SIG-0013","ns=2;s=Plant.ControlLoops.LIC-103.OP","OP — Interface da dessalgadora","Demanda calculada pelo controlador para posição da válvula de drenagem de salmoura.","FEED","Alimentação e pré-aquecimento","LIC-103","Interface da dessalgadora","control_loop","LIC-103","cpm.op","number","%","10","0..100","valve.stiction","LIC-103"
"SIG-0014","ns=2;s=Plant.ControlLoops.LIC-103.MODE","Modo — Interface da dessalgadora","Modo efetivo do controlador: automático, manual, cascata ou remoto.","FEED","Alimentação e pré-aquecimento","LIC-103","Interface da dessalgadora","control_loop","LIC-103","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","valve.stiction","LIC-103"
"SIG-0015","ns=2;s=Plant.ControlLoops.LIC-103.MVFB","Resposta do elemento final — Interface da dessalgadora","Resposta física medida do elemento final: Posição da válvula de drenagem de salmoura.","FEED","Alimentação e pré-aquecimento","LIC-103","Interface da dessalgadora","control_loop","LIC-103","cpm.valve_position","number","%","10","0..100","valve.stiction","LIC-103"
"SIG-0016","ns=2;s=Plant.ControlLoops.TIC-104.PV","PV — Temperatura de saída do pré-aquecimento","Variável de processo medida: Temperatura de carga aquecida.","FEED","Alimentação e pré-aquecimento","TIC-104","Temperatura de saída do pré-aquecimento","control_loop","TIC-104","cpm.pv","number","°C","30","-20..700","process.disturbance","TIC-104"
